makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat
Tumis pakcoy,Ikan patin goreng,Terong goreng,Pisang bakar saus manis,Nangka,357.5,3
Kacang panjang bumbu kuning,Sayur tahu toge,Tempe pesmol,Mentimun serut,Jus jeruk,276.1,3
Tumis kol,Tumis pepaya muda,Hati ayam goreng,Jus wortel tomat,Jus wortel ,379.0,3
Tuna bakar bumbu bali,Sambal teri,Daging sapi panggang,Buah naga,Pisang,389.2,3
Semur jengkol,Ikan panggang siram acar,Hati ayam goreng,Pisang ,Es doger,305.7,3
Nasi liwet,Terong bakar,Ikan mujair pepes,Es kuwut,Jus wortel ,391.0,3
Bubur ketan hitam,Ikan panggang siram acar,Brengkes patin,Salak,Pempek kapal selam,371.7,3
Bubur ketan hitam,Spageti,Tempe pesmol,Durian,Es krim,334.5,3
Bubur ketan hitam,Telur puyuh bumbu kuning,Lumpia basah,Putu mayang,Kue pancong,301.2,3
Ikan bawal goreng,Tahu bacem,Tempe kukus cabe hijau,Jus Buah naga,Pastel ,328.5,3
Tuna bakar bumbu bali,Nasi rames,Terong goreng,Jus jambu,Jus wortel ,377.2,3
Gado-gado,Gudeg,Tempe pesmol,Manggis,Nangka,286.5,3
Nasi ciprat,Beef teriyaki,Tahu siksa,Pir,Apel fuji,400.0,3
Rawon,Terong bakar,Tumis tahu kentang seledri,Jus mentimun jambu,Tahu sumedang,377.5,3
Nasi ciprat,Ikan kuah kuning,Tumis ikan tongkol,Susu murni,Es doger,355.2,3
Telur ceplok air acar kuning,Tumis buncis wortel bintik,Sayur bobor,Talam ubi,Onde-onde,255.8,3
Tempe masak wijen,Nasi hijau harum,Sayur bobor,Jeruk,Martabak telur,279.2,3
Tumis sawi putih,Tahu cabe garam,Gadon tahu jamur,Kue tapioka,Buah delima ,277.5,3
Tahu balado,Tahu cabe garam,Lumpia basah,Talam nangka,Es buah,372.40000000000003,3
Kwetiau udang sambal rujak,Telur puyuh bumbu kuning,Terong goreng,Melon,Wajik ,382.4,3
Telur ceplok,Ikan kuah kuning,Tempe pesmol,Sup buah serut,Es krim,312.8,3
Ikan bawal goreng,Tumis pepaya muda,Tahu siksa,Putu mayang,Yogurt,299.8,3
Pepes ikan mas,Babat sapi,Tahu bumbu merah,Jus mangga,Kue beras,275.3,3
Tuna bakar bumbu bali,Tahu bacem,Hati ayam goreng,Susu,Pie susu,391.2,3
Nasi bakar,Ikan panggang siram acar,Urab,Nanas,Jus jeruk,211.7,3
Ikan mas goreng,Tahu bacem,Lumpia basah,Klepon,Kue pancong,328.1,3
Tempe masak wijen,Pecel lele,Gadon tahu jamur,Talam nangka,Pastel ,235.39999999999998,3
Tempe panggang,Babat sapi,Jengkol balado,Jus nanas,Kue beras,335.0,3
Lontong sayur,Terong bakar,Tahu bumbu merah,Putu mayang,Bakpia,248.3,3
Soto bandung,Nasi hijau harum,Sambal udang,Rambutan,Cempedak,299.0,3
Bubur ketan hitam,Onigiri,Kangkung bumbu kare,Rujak pepaya alpukat,Es doger,384.1,3
Tempe panggang,Bakso aci,Nasi goreng kunyit,Sup buah serut,Sosis solo,394.3,3
Bubur nasi,Pecel lele,Tempe kukus cabe hijau,Jeruk,Kue nagasari,313.5,3
Urap,Pecel lele,Ayam panggang bumbu bacem,Kue bugis isi kacang hijau,Susu kedelai,388.7,3
Telur dadar,Tumis oncom,Tumis kapri manis,Kue tapioka,Bluberi,367.1,3
Tempe masak wijen,Ayam betutu,Urab,Pepaya,Jus wortel ,299.2,3
