makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat,natrium_makan_pagi,natrium_makan_siang,natrium_makan_malam,natrium_snack_1,natrium_snack_2
pepes ayam,bakso aci,sayur nangka,salad buah,tape singkong,379,3,149,214,4,5,7
bubur ketan hitam,ayam rendang,daun singkong bumbu iris,asinan bengkuang nanas,markisa,387.6,3,77,274,3,5.6,28
tempe panggang,ayam betutu,ikan mujair pepes,salak,sukun goreng,344,3,31,251,58,2,2
nasi ciprat,pecel lele,pepes tongkol sambal dabu-dabu,jus mentimun jambu,tahu gejrot,254.5,3,10.2,48,26.8,2.5,167
ikan bawal goreng,pecel lele,pecel,sari seledri timun,es doger,303,3,85,48,23,23,124
tempe panggang,ikan panggang siram acar,oseng tahu tomat,jus pepaya belimbing,kue kacang,211.7,3,31,28.7,5.9,7.1,139
telur rebus,sayur bunga pepaya,ayam panggang bumbu bacem,mangga,serabi,354.7,3,139,90,26.7,2,97
tempe masak wijen,babat sapi,tahu siksa,getuk kacang hijau,tahu gejrot,269,3,4.2,68,10.8,19,167
semur jengkol,sambal teri,brengkes patin,pepaya,pempek,313,3,60,150,43,3,57
ikan bawal goreng,ikan patin goreng,tempe kukus cabe hijau,talam nangka,pempek,214.8,3,85,61,7.5,4.3,57
tempe masak wijen,karedok,tempe goreng tepung,susu,sari apel,251.2,3,4.2,127,76,41,3
tempe masak wijen,sayur bunga pepaya,kari daging domba,jus jambu,kue bawang,373.2,3,4.2,90,210,2,67
kacang panjang bumbu kuning,bakso aci,terong goreng,manggis,markisa,320.5,3,9.5,214,62,7,28
tuna bakar bumbu bali,bening bayam tauge,pepes tongkol sambal dabu-dabu,es teler,ronde,219.3,3,19.2,12.3,26.8,155,6
soto ayam,ikan belanak goreng,tempe pesmol,jus apel,duku,314.5,3,87,220,3.5,3,1
tempe panggang,ikan patin goreng,bandeng presto,jus wortel tomat,kue beras,390,3,31,61,270,19,9
pindang patin,terong bakar,ikan bakar bumbu kecap,stroberi,bubur sumsum,247.5,3,90,2,99.5,1,55
soto banjar,tahu bacem,hati ayam goreng,kelengkeng,sale pisang,304,3,82,69,92,0,61
lontong sayur,sambal goreng kentang,ikan bandeng goreng,nanas,cempedak,400,3,64,114,215,1,6
tumis buncis,tumis buncis wortel bintik,ayam panggang bumbu bacem,mentimun serut,jus wortel,350.8,3,263,26,26.7,6.1,29
nasi ciprat,pecel lele,tahu bumbu kukus,manggis,pastel,245.1,3,10.2,48,19.9,7,160
semur jengkol,nasi hijau harum,tumis ikan tongkol,pisang,bolu kukus,381,3,60,78,19,1,223
telur ceplok,tekwan,oseng tahu tomat,stroberi,kue beras,295.9,3,94,186,5.9,1,9
kwetiau udang sambal rujak,sayur bunga pepaya,sayur siram bumbu tumis,rambutan,jus alpukat,223.4,3,91.3,90,14.1,10,18
tempe masak wijen,sayur bunga pepaya,daun singkong bumbu iris,pisang,tahu walik,246.2,3,4.2,90,3,1,148
ikan tongkol goreng,sayur bunga pepaya,tumis kapri manis,jus stroberi,mangga kweni,338.5,3,244,90,1.5,1,2
tempe goreng,telur puyuh bumbu kuning,nasi goreng kunyit,buah naga,jus semangka,388.1,3,277,73.1,35,2,1
soto ayam,pepes bandeng presto,lodeh terong,sup buah serut,sukun goreng,339.7,3,87,20.4,197,33.3,2
tumis labu siam,tumis buncis wortel bintik,nasi goreng kunyit,jus mangga,onde-onde,288,3,145,26,35,2,80
rawon,sayur bunga pepaya,gadon tahu jamur,jus belimbing berembun,cenil,313.5,3,171,90,18.9,3.6,30
pepes tongkol,tumis buncis wortel bintik,tahu bumbu kukus,susu,buah delima,201.9,3,112,26,19.9,41,3
sayur pakis,tahu cabe garam,rendang,jus wortel tomat,pempek,301,3,1,40,184,19,57
kwetiau udang sambal rujak,asem-asem kangkung,sayur siram bumbu tumis,es teler,sale pisang,353.4,3,91.3,32,14.1,155,61
tumis sawi putih,tumis buncis wortel bintik,oseng tahu tomat,rujak jeruk bali,pempek,308.6,3,211,26,5.9,8.7,57
ikan mas goreng,tumis buncis wortel bintik,tempe pesmol,apel,cireng isi ayam,380.5,3,88,26,3.5,1,262
tuna bakar bumbu bali,bening bayam tauge,hati ayam goreng,pepaya,kue kacang,265.5,3,19.2,12.3,92,3,139
laksa palembang,terong bakar,tahu siksa,rambutan,jus alpukat,280.8,3,240,2,10.8,10,18
telur orak-arik,karedok,mie rebus tauge,sari buah tropika,buah delima,382.3,3,211,127,35.3,6,3
bubur nasi,pepes bandeng presto,makaroni bumbu merah,buah naga,susu kedelai,221.4,3,126,20.4,18,2,55
tuna bakar bumbu bali,sayur tahu toge,daun singkong bumbu iris,es kelapa muda,duku,287.2,3,19.2,256,3,8,1
pepes tongkol,pecel lele,gadon tahu jamur,rujak pepaya alpukat,cenil,222.7,3,112,48,18.9,13.8,30
tempe panggang,sayur bunga pepaya,ikan mujair pepes,talam nangka,kue bawang,250.3,3,31,90,58,4.3,67
ikan tongkol goreng,terong bakar,ikan bakar bumbu kecap,pepaya,jus wortel,377.5,3,244,2,99.5,3,29
soto daging,gudeg,nasi goreng sayur,pisang panggang saus kurma,nangka,364.7,3,152,147,52.2,10.5,3
semur jengkol,terong bakar,mie rebus tauge,kelengkeng,bakpia,215.3,3,60,2,35.3,0,118
rawon,babat sapi,pecel,getuk kacang hijau,jus semangka,282,3,171,68,23,19,1
tempe panggang,bakso aci,tempe kukus cabe hijau,puding coklat,sari apel,384.5,3,31,214,7.5,129,3
nasi ciprat,ikan mujair goreng,brengkes patin,jambu biji,jus wortel,278.2,3,10.2,194,43,2,29
nasi goreng tuna,spageti,makaroni bumbu merah,stroberi,sosis solo,373.7,3,41.7,232,18,1,81
tumis genjer,tahu bacem,tumis kapri manis,mentimun serut,serabi,391.6,3,218,69,1.5,6.1,97
soto bandung,sayur bunga pepaya,tahu bumbu merah,es kelapa muda,kue pukis,332.3,3,132,90,5.3,8,97
soto daging,tumis buncis wortel bintik,orak arik bening soun,kelengkeng,pisang,268.5,3,152,26,89.5,0,1
tuna bakar bumbu bali,tekwan,tumis kapri manis,jus jambu,jus semangka,209.7,3,19.2,186,1.5,2,1
nasi goreng tuna,tuna bumbu pepes,pepes tongkol sambal dabu-dabu,manggis,jus semangka,356.5,3,41.7,280,26.8,7,1
pepes tahu,tumis buncis wortel bintik,nasi goreng kunyit,manggis,ronde,343,3,269,26,35,7,6
tumis kol,ikan panggang siram acar,lumpia basah,kue apem,bubur sumsum,337.8,3,114,28.7,40.1,100,55
tumis pare,tumis buncis wortel bintik,saboko gurita,sari seledri timun,tape singkong,381,3,125,26,200,23,7
gado-gado,nasi hijau harum,terong goreng,klepon,jus alpukat,363,3,126,78,62,79,18
nasi kebuli,ikan patin goreng,tahu bumbu merah,jus mangga,kue pukis,331.3,3,166,61,5.3,2,97
gado-gado,tahu cabe garam,lumpia basah,manggis,kue pukis,310.1,3,126,40,40.1,7,97
semur jengkol,nasi rames,sayur rica rodoh,jeruk,es buah,351.8,3,60,265,2.8,2,22
ayam suwir,tumis oncom,brengkes patin,pir,mangga kweni,370,3,62,262,43,1,2
sayur pakis,telur puyuh bumbu kuning,sayur nangka,putu mayang,tahu walik,285.1,3,1,73.1,4,59,148
ayam suwir,telur puyuh bumbu kuning,terong goreng,rujak pepaya alpukat,duku,211.9,3,62,73.1,62,13.8,1
urap,terong bakar,gadon tahu jamur,salak,bluberi,274.9,3,251,2,18.9,2,1
nasi pecel,mie bakso,tempe goreng tepung,buah naga,jus wortel,308,3,8,193,76,2,29
rawon,tahu bacem,nasi goreng sayur,mentimun serut,sari apel,301.3,3,171,69,52.2,6.1,3
telur ceplok,sayur bunga pepaya,nasi goreng sayur,mentimun serut,martabak telur,377.3,3,94,90,52.2,6.1,135
sayur pakis,sup nasi ayam,sayur siram bumbu tumis,stroberi,markisa,383.1,3,1,339,14.1,1,28
bubur ayam,babat sapi,tahu bumbu merah,manggis,duku,325.3,3,244,68,5.3,7,1
pepes tongkol,telur puyuh bumbu kuning,tempe goreng tepung,jus jambu,ronde,269.1,3,112,73.1,76,2,6
telur ceplok,pecel lele,orak arik bening soun,pir,puding vanila,367.5,3,94,48,89.5,1,135
nasi kebuli,asem-asem kangkung,makaroni bumbu merah,dadar gulung,tape singkong,290,3,166,32,18,67,7
bubur ketan hitam,nasi rames,sayur siram bumbu tumis,rambutan,jus wortel,395.1,3,77,265,14.1,10,29
soto daging,ikan panggang siram acar,kangkung bumbu kare,jus stroberi,wajik,351,3,152,28.7,29.3,1,140
urap megono,karedok,spageti udang,jus stroberi,sari apel,249.5,3,28,127,90.5,1,3
semur jengkol,ikan belanak goreng,tumis kapri manis,jus stroberi,sale pisang,343.5,3,60,220,1.5,1,61
soto bandung,ikan panggang siram acar,ikan bakar bumbu kecap,jus melon,kue bawang,343.2,3,132,28.7,99.5,16,67
nasi ciprat,ayam woku,gadon tahu jamur,buah naga,lemper,399.1,3,10.2,183,18.9,2,185
nasi pecel,nasi rames,tahu bumbu kukus,lemang manis isi pisang,kue bawang,363.5,3,8,265,19.9,3.6,67
sayur pakis,garang asem ayam,makaroni bumbu merah,jus jambu,jus alpukat,252,3,1,213,18,2,18
ikan bawal goreng,nasi hijau harum,terong goreng,apel,tape singkong,233,3,85,78,62,1,7
pepes tahu,tahu cabe garam,sayur bobor,sari buah tropika,ronde,381,3,269,40,60,6,6
soto kudus,sambal goreng kentang,tumis tahu kentang seledri,susu murni,es buah,353,3,171,114,6,40,22
telur ceplok,sambal goreng kentang,sandwich ikan tuna panggang,nanas,jus jeruk,363.2,3,94,114,153.2,1,1
lontong sayur,bakso aci,sayur nangka,asinan bengkuang nanas,sale pisang,348.6,3,64,214,4,5.6,61
telur rebus,sambal goreng kentang,tumis kapri manis,jus pepaya belimbing,kue pancong,313.6,3,139,114,1.5,7.1,52
tahu balado,nasi hijau harum,urab,susu,bluberi,398,3,266,78,12,41,1
semur jengkol,pecel lele,gulai daging sapi,apel,yogurt,354,3,60,48,225,1,20
bubur ketan hitam,garang asem ayam,nasi goreng kunyit,kelengkeng,nangka,328,3,77,213,35,0,3
pepes tongkol,babat sapi,sambal udang,kelengkeng,kue nastar,375,3,112,68,73,0,122
bubur kacang hijau,iga bakar,tumis tahu kentang seledri,salad buah,apel fuji,330,3,46,272,6,5,1
tempe panggang,pepes bandeng presto,hati ayam goreng,pisang,kue bawang,211.4,3,31,20.4,92,1,67
tumis genjer,ikan panggang siram acar,mie hokian,jus jambu,yogurt,346.5,3,218,28.7,77.8,2,20
soto banjar,pecel lele,rendang,apel,nangka,318,3,82,48,184,1,3
telur ceplok air acar kuning,tumis pepaya muda,tahu bumbu merah,pir,ronde,217.8,3,80.5,125,5.3,1,6
kacang panjang bumbu kuning,babat sapi,terong balado,sup buah tropika,mangga kweni,378.4,3,9.5,68,262,36.9,2
semur jengkol,karedok,gulai ikan,pisang,jus semangka,358,3,60,127,169,1,1
tempe panggang,bakso aci,nasi goreng kunyit,rujak jeruk bali,kue pukis,385.7,3,31,214,35,8.7,97
ikan mas goreng,ayam cincang buncis,tempe pesmol,jus pepaya kayu manis,yogurt,357.8,3,88,241,3.5,5.3,20
soto betawi,tumis buncis wortel bintik,tumis tahu kentang seledri,talam ubi,kue nastar,357.3,3,194,26,6,9.3,122
urap megono,sambal goreng kentang,orak arik bening soun,salad buah,buah delima,239.5,3,28,114,89.5,5,3
telur ceplok,terong bakar,mie rebus tauge,apel,pempek kapal selam,353.3,3,94,2,35.3,1,221
sayur bening bayam,karedok,ikan mujair pepes,rujak jeruk bali,sukun goreng,357.7,3,162,127,58,8.7,2
bubur kacang hijau,bening bayam tauge,mie hokian,jus mentimun jambu,onde-onde,218.6,3,46,12.3,77.8,2.5,80
perkedel kentang,pepes bandeng presto,pecel,rambutan,sosis solo,338.4,3,204,20.4,23,10,81
lontong sayur,ikan panggang siram acar,lumpia basah,pir,risol bihun,336.8,3,64,28.7,40.1,1,203
tumis genjer,babat sapi,tempe kukus cabe hijau,stroberi,jus semangka,295.5,3,218,68,7.5,1,1
tumis pare,bening bayam tauge,orak arik bening soun,sup buah serut,nangka,263.1,3,125,12.3,89.5,33.3,3
nasi ciprat,mie bakso,tumis tahu kentang seledri,puding coklat,bluberi,339.2,3,10.2,193,6,129,1
